-435, -815, -742, 1033, -518, 582, -1201, 829, 86, 385
-833, -891, 463, -8, -1251, 1450, 72, -231, 864, 661
-1021, 231, -306, 321, -220, -163, -526, -754, -1633, 267
57, -198, -339, -33, -1468, 573, 796, -169, -631, 816
171, -350, 294, 1660, 453, 519, 291, 159, -640, -1296
-701, -842, -58, 950, 892, 1549, 715, 527, -714, -193
584, 31, -289, 356, -333, -457, 612, -283, -1381, -741
-109, -808, 231, 77, -87, -344, 1341, 1087, -654, -569
-859, 1236, 550, 854, 714, -543, -1752, -195, -98, -276
-877, -954, -1248, -299, 212, -235, -728, 949, 1517, 895
-77, 344, -620, 763, 413, 502, -362, -960, -483, 1386
-314, -307, -256, -1260, -429, 450, -466, -108, 1010, 2223
711, 693, 521, 650, 1305, -28, -378, 744, -1005, 240
-112, -271, -500, 946, 1733, 271, -15, 909, -259, 1688
575, -10, -468, -199, 1101, -1011, 581, -53, -747, 878
145, -285, -1280, -398, 36, -498, -1377, 18, -444, 1483
-1133, -835, 1350, 1284, -95, 1015, -222, 443, 372, -354
-1459, -1237, 416, -213, 466, 669, 659, 1640, 932, 534
-15, 66, 468, 1019, -748, 1385, -182, -907, -721, -262
-338, 148, 1445, 75, -760, 569, 1247, 337, 416, -121
389, 239, 1568, 981, 113, 369, -1003, -507, -587, -904
-312, -98, 949, 31, 1104, 72, -141, 1465, 63, -785
1127, 584, 835, 277, -1159, 208, 301, -882, 117, -404
539, -114, 856, -493, 223, -912, 623, -76, 276, -440
2197, 2337, 1268, 670, 304, -267, -525, 140, 882, -139
-1596, 550, 801, -456, -56, -697, 865, 1060, 413, 446
1154, 593, -77, 1237, -31, 581, -1037, -895, 669, 297
397, 558, 203, -797, -919, 3, 692, -292, 1050, 782
334, 1475, 632, -80, 48, -1061, -484, 362, -597, -852
-545, -330, -429, -680, 1133, -1182, -744, 1340, 262, 63
1320, 827, -398, -576, 341, -774, -483, -1247, -70, 98
-163, 674, -11, -886, 531, -1125, -265, -242, 724, 934
